Total reward: -15087.645140221772, Eps: 1.0, MeanT:89.92
Total reward: -12395.321030777162, Eps: 0.99, MeanT:61.57
Total reward: -8784.222563254674, Eps: 0.98, MeanT:54.87
Total reward: -8841.929000869619, Eps: 0.97, MeanT:55.07
Total reward: -8025.480668957402, Eps: 0.96, MeanT:57.02
Total reward: -10218.45022728618, Eps: 0.95, MeanT:61.12
Total reward: -9299.690252852579, Eps: 0.94, MeanT:61.84
Total reward: -8210.863912141183, Eps: 0.9299999999999999, MeanT:54.97
Total reward: -11237.038100742127, Eps: 0.92, MeanT:60.35
Total reward: -10880.038462567281, Eps: 0.91, MeanT:61.58
Total reward: -9765.197495362867, Eps: 0.9, MeanT:60.11
Total reward: -8222.748083565679, Eps: 0.89, MeanT:54.49
Total reward: -8930.244729950677, Eps: 0.88, MeanT:54.72
Total reward: -9360.92523560016, Eps: 0.87, MeanT:56.77
Total reward: -7706.681654775627, Eps: 0.86, MeanT:54.67
Total reward: -10090.579134602758, Eps: 0.85, MeanT:54.94
Total reward: -8338.85186513883, Eps: 0.84, MeanT:54.54
Total reward: -7675.07999710135, Eps: 0.83, MeanT:54.04
Total reward: -8312.486175497299, Eps: 0.8200000000000001, MeanT:53.48
Total reward: -8346.957417689853, Eps: 0.81, MeanT:54.95
Total reward: -6981.568270028776, Eps: 0.8, MeanT:53.11
Total reward: -7077.358267734196, Eps: 0.79, MeanT:53.23
Total reward: -7581.438044249521, Eps: 0.78, MeanT:53.61
Total reward: -7234.4373820053315, Eps: 0.77, MeanT:54.31
Total reward: -7620.66636005167, Eps: 0.76, MeanT:53.52
Total reward: -8001.2907820107075, Eps: 0.75, MeanT:54.05
Total reward: -7538.327178049484, Eps: 0.74, MeanT:52.64
Total reward: -8517.479541389579, Eps: 0.73, MeanT:54.32
Total reward: -6497.020545669149, Eps: 0.72, MeanT:53.01
Total reward: -6224.9016078237455, Eps: 0.71, MeanT:52.31
Total reward: -8411.031145696117, Eps: 0.7, MeanT:53.8
Total reward: -7416.093401225652, Eps: 0.69, MeanT:52.59
Total reward: -8677.946630954415, Eps: 0.6799999999999999, MeanT:52.97
Total reward: -7306.013920228997, Eps: 0.6699999999999999, MeanT:52.14
